cab_types,date_trunc,number_of_trips
Green_Cab,2015-01-01 00:00:00,1508501
Green_Cab,2015-02-01 00:00:00,1574830
Green_Cab,2015-03-01 00:00:00,1722574
Green_Cab,2015-04-01 00:00:00,1664394
Green_Cab,2015-05-01 00:00:00,1786848
Green_Cab,2015-06-01 00:00:00,1595888
Uber,2015-01-01 00:00:00,1953801
Uber,2015-02-01 00:00:00,2263620
Uber,2015-03-01 00:00:00,2259773
Uber,2015-04-01 00:00:00,2280837
Uber,2015-05-01 00:00:00,2695553
Uber,2015-06-01 00:00:00,2734318
Yellow_Cab,2015-01-01 00:00:00,12748986
Yellow_Cab,2015-02-01 00:00:00,12450521
Yellow_Cab,2015-03-01 00:00:00,13351609
Yellow_Cab,2015-04-01 00:00:00,13071789
Yellow_Cab,2015-05-01 00:00:00,13158262
Yellow_Cab,2015-06-01 00:00:00,11950701
