cab_types,date_part,number_of_trips
Green_Cab,0,385637
Green_Cab,1,305979
Green_Cab,2,231858
Green_Cab,3,176151
Green_Cab,4,146739
Green_Cab,5,94399
Green_Cab,6,110086
Green_Cab,7,193729
Green_Cab,8,291113
Green_Cab,9,308578
Green_Cab,10,293799
Green_Cab,11,293177
Green_Cab,12,301105
Green_Cab,13,307474
Green_Cab,14,352552
Green_Cab,15,396783
Green_Cab,16,432671
Green_Cab,17,473058
Green_Cab,18,522311
Green_Cab,19,524725
Green_Cab,20,485609
Green_Cab,21,472960
Green_Cab,22,467383
Green_Cab,23,442621
Uber,0,103553
Uber,1,67062
Uber,2,45736
Uber,3,48052
Uber,4,54815
Uber,5,83072
Uber,6,141631
Uber,7,191064
Uber,8,188638
Uber,9,158693
Uber,10,157965
Uber,11,164489
Uber,12,169276
Uber,13,194339
Uber,14,228921
Uber,15,273338
Uber,16,311030
Uber,17,333508
Uber,18,322054
Uber,19,292109
Uber,20,282358
Uber,21,279499
Uber,22,240511
Uber,23,169190
Yellow_Cab,0,3312596
Yellow_Cab,1,2414315
Yellow_Cab,2,1787158
Yellow_Cab,3,1280039
Yellow_Cab,4,955969
Yellow_Cab,5,862819
Yellow_Cab,6,1814897
Yellow_Cab,7,3014532
Yellow_Cab,8,3666910
Yellow_Cab,9,3784308
Yellow_Cab,10,3681639
Yellow_Cab,11,3810188
Yellow_Cab,12,3970870
Yellow_Cab,13,3935647
Yellow_Cab,14,4072890
Yellow_Cab,15,3824535
Yellow_Cab,16,3252944
Yellow_Cab,17,3963055
Yellow_Cab,18,4857703
Yellow_Cab,19,5109610
Yellow_Cab,20,4849245
Yellow_Cab,21,4817133
Yellow_Cab,22,4685657
Yellow_Cab,23,4215130
