cab_types,date_part,number_of_trips
Green_Cab,0,1529591
Green_Cab,1,1153118
Green_Cab,2,1134748
Green_Cab,3,1226686
Green_Cab,4,1377520
Green_Cab,5,1599245
Green_Cab,6,1832127
Uber,0,1952782
Uber,1,1694252
Uber,2,1790325
Uber,3,1893811
Uber,4,2159598
Uber,5,2282571
Uber,6,2414563
Yellow_Cab,0,10466184
Yellow_Cab,1,9768259
Yellow_Cab,2,10118167
Yellow_Cab,3,10771384
Yellow_Cab,4,11509889
Yellow_Cab,5,11864716
Yellow_Cab,6,12233269
