cab_types,date_part,number_of_trips
Green_Cab,0,1241263
Green_Cab,1,922725
Green_Cab,2,957361
Green_Cab,3,1026473
Green_Cab,4,1101810
Green_Cab,5,1282305
Green_Cab,6,1478560
Uber,0,490180
Uber,1,541472
Uber,2,630365
Uber,3,696488
Uber,4,755145
Uber,5,741139
Uber,6,646114
Yellow_Cab,0,10876300
Yellow_Cab,1,10573014
Yellow_Cab,2,11562034
Yellow_Cab,3,12003711
Yellow_Cab,4,12288482
Yellow_Cab,5,12384258
Yellow_Cab,6,12251990
